# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.max.wait.ms,1781854880930000000,1781854941107000000,21
LowMemory.gcOverloaded,1781854880930000000,1781854941107000000,0
parser.JAVA.size.bytes,1781854880930000000,1781854941107000000,3058
DiskQueryRelay.taskWaitingTotalTimeUs,1781854880930000000,1781854941107000000,3132326
LowMemory.gcLoad,1781854880930000000,1781854941107000000,0.0
lexer.JAVA.time.ns,1781854880930000000,1781854941107000000,20673778
lexer.JAVA.size.bytes,1781854880930000000,1781854941107000000,3058
DiskQueryRelay.tasksRequested,1781854880930000000,1781854941107000000,961
writeAction.median.wait.ms,1781854880930000000,1781854941107000000,0
writeAction.count,1781854880930000000,1781854941107000000,14
writeAction.wait.ms,1781854880930000000,1781854941107000000,72
DiskQueryRelay.taskExecutionTotalTimeUs,1781854880930000000,1781854941107000000,2124117
parser.JAVA.time.ns,1781854880930000000,1781854941107000000,271759015
DiskQueryRelay.tasksExecuted,1781854880930000000,1781854941107000000,760
JVM.usedNativeBytes,1781854880930000000,1781854941107000000,443430656
MEM.ramMinusFileMappingsBytes,1781854880930000000,1781854941107000000,2093875200
JVM.committedHeapBytes,1781854880930000000,1781854941107000000,793772032
MEM.ramBytes,1781854880930000000,1781854941107000000,2812698624
JVM.totalTimeAtSafepointsMs,1781854880930000000,1781854941107000000,1437
JVM.totalTimeToSafepointsMs,1781854880930000000,1781854941107000000,125
MEM.fileMappingsRamBytes,1781854880930000000,1781854941107000000,704278528
JVM.GC.collectionTimesMs,1781854880930000000,1781854941107000000,1382
JVM.newThreadsCount,1781854880930000000,1781854941107000000,158
JVM.maxThreadCount,1781854880930000000,1781854941107000000,148
MEM.ramPlusSwapMinusFileMappingsBytes,1781854880930000000,1781854941107000000,2093875200
JVM.maxHeapBytes,1781854880930000000,1781854941107000000,2147483648
JVM.totalBytesAllocated,1781854880930000000,1781854941107000000,4015456296
OS.loadAverage,1781854880930000000,1781854941107000000,3.72119140625
JVM.threadCount,1781854880930000000,1781854941107000000,148
JVM.usedHeapBytes,1781854880930000000,1781854941107000000,572434576
JVM.totalCpuTimeMs,1781854880930000000,1781854941107000000,249620
JVM.totalDirectByteBuffersBytes,1781854880930000000,1781854941107000000,630347777
JVM.totalSafepointCount,1781854880930000000,1781854941107000000,100
JVM.GC.collections,1781854880930000000,1781854941107000000,57
cacheStateStorage.get.duration,1781854880930000000,1781854941107000000,511
cacheStateStorage.set.duration,1781854880930000000,1781854941107000000,129
cacheStateStorage.set.counter,1781854880930000000,1781854941107000000,6
cacheStateStorage.get.counter,1781854880930000000,1781854941107000000,40
AWTEventQueue.dispatchTime90PNs,1781854880930000000,1781854941107000000,1556479
FlushQueue.executionTimeAvgNs,1781854880930000000,1781854941107000000,100715.0
FlushQueue.queueSizeMax,1781854880930000000,1781854941107000000,1
FlushQueue.waitingTimeAvgNs,1781854880930000000,1781854941107000000,710528.0
NonBlockingReadAction.failedExecutionTimeUs,1781854880930000000,1781854941107000000,59534
FlushQueue.waitingTime90PNs,1781854880930000000,1781854941107000000,1933311
FlushQueue.queueSizeAvg,1781854880930000000,1781854941107000000,0.4375
NonBlockingReadAction.finalizedExecutionsCount,1781854880930000000,1781854941107000000,89
AWTEventQueue.dispatchTimeAvgNs,1781854880930000000,1781854941107000000,528361.1428571428
ReadAction.executionsCount,1781854880930000000,1781854941107000000,69212
FlushQueue.queueSize90P,1781854880930000000,1781854941107000000,1
AWTEventQueue.dispatchTimeTotalNS,1781854880930000000,1781854941107000000,28304085570
FlushQueue.executionTimeMaxNs,1781854880930000000,1781854941107000000,214015
AWTEventQueue.eventsDispatched,1781854880930000000,1781854941107000000,35
NonBlockingReadAction.failedExecutionsCount,1781854880930000000,1781854941107000000,1
FlushQueue.tasksExecuted,1781854880930000000,1781854941107000000,16
NonBlockingReadAction.finalizedExecutionTimeUs,1781854880930000000,1781854941107000000,1283145
FlushQueue.executionTime90PNs,1781854880930000000,1781854941107000000,189439
WriteAction.executionsCount,1781854880930000000,1781854941107000000,14
AWTEventQueue.dispatchTimeMaxNs,1781854880930000000,1781854941107000000,1867775
FlushQueue.waitingTimeMaxNs,1781854880930000000,1781854941107000000,2129919
compiler.ArtifactManagerBridge.commit.ms,1781854880930000000,1781854941107000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1781854880930000000,1781854941107000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1781854880930000000,1781854941107000000,5
compiler.ArtifactManagerBridge.addArtifact.ms,1781854880930000000,1781854941107000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1781854880930000000,1781854941107000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1781854880930000000,1781854941107000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1781854880930000000,1781854941107000000,1
compiler.ArtifactManagerBridge.getArtifacts.ms,1781854880930000000,1781854941107000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1781854880930000000,1781854941107000000,0
MappedFileStorage.totalPagesMapped,1781854880930000000,1781854941107000000,17
FilePageCache.disposedBuffers,1781854880930000000,1781854941107000000,73
StorageLockContext.competingThreads.max,1781854880930000000,1781854941107000000,0
DirectByteBufferAllocator.misses,1781854880930000000,1781854941107000000,606
StorageLockContext.competingThreads.avg,1781854880930000000,1781854941107000000,0.0
StorageLockContext.competingThreads.90P,1781854880930000000,1781854941107000000,0
FilePageCache.pageHits,1781854880930000000,1781854941107000000,1
FilePageCache.maxRegisteredFiles,1781854880930000000,1781854941107000000,1652
FilePageCache.totalPageDisposalsUs,1781854880930000000,1781854941107000000,14981
FilePageCache.pageFastCacheHits,1781854880930000000,1781854941107000000,16253
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1781854880930000000,1781854941107000000,630235136
FilePageCache.maxCacheSizeInBytes,1781854880930000000,1781854941107000000,629153792
FileChannelInterruptsRetryer.totalRetriedAttempts,1781854880930000000,1781854941107000000,0
StreamlinedBlobStorage.recordsRelocated,1781854880930000000,1781854941107000000,0
DirectByteBufferAllocator.disposed,1781854880930000000,1781854941107000000,0
FilePageCache.uncachedFileAccess,1781854880930000000,1781854941107000000,529
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1781854880930000000,1781854941107000000,2926444
StreamlinedBlobStorage.recordsDeleted,1781854880930000000,1781854941107000000,3
StreamlinedBlobStorage.recordsAllocated,1781854880930000000,1781854941107000000,60014
MappedFileStorage.totalTimeSpentOnMappingUs,1781854880930000000,1781854941107000000,40274
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1781854880930000000,1781854941107000000,5352989
DirectByteBufferAllocator.hits,1781854880930000000,1781854941107000000,71
FilePageCache.capacityInBytes,1781854880930000000,1781854941107000000,629145600
FilePageCache.pageLoads,1781854880930000000,1781854941107000000,608
MappedFileStorage.totalBytesMapped,1781854880930000000,1781854941107000000,206831616
MappedFileStorage.storages,1781854880930000000,1781854941107000000,17
DirectByteBufferAllocator.reclaimed,1781854880930000000,1781854941107000000,73
FilePageCache.totalPageLoadsUs,1781854880930000000,1781854941107000000,5002865
FilePageCache.pageLoadsAboveSizeThreshold,1781854880930000000,1781854941107000000,69
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1781854880930000000,1781854941107000000,2097152
jps.facet.change.listener.init.bridge.ms,1781854880930000000,1781854941107000000,5
workspaceModel.moduleManagerBridge.build.module.graph.ms,1781854880930000000,1781854941107000000,30
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1781854880930000000,1781854941107000000,3
jps.project.serializers.load.ms,1781854880930000000,1781854941107000000,218
workspaceModel.moduleManagerBridge.newModule.ms,1781854880930000000,1781854941107000000,0
jps.global.get.library.by.name.ms,1781854880930000000,1781854941107000000,0
workspaceModel.global.updates.count,1781854880930000000,1781854941107000000,1
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1781854880930000000,1781854941107000000,2
workspaceModel.mutableEntityStorage.entities.ms,1781854880930000000,1781854941107000000,2
workspaceModel.load.cache.from.file.ms,1781854880930000000,1781854941107000000,746
workspaceModel.save.cache.to.file.ms,1781854880930000000,1781854941107000000,233
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1781854880930000000,1781854941107000000,1
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1781854880930000000,1781854941107000000,0
jps.save.global.entities.ms,1781854880930000000,1781854941107000000,70
jps.artifact.entities.serializer.load.entities.ms,1781854880930000000,1781854941107000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1781854880930000000,1781854941107000000,0
workspaceModel.global.updates.ms,1781854880930000000,1781854941107000000,226
jps.app.storage.content.reader.load.component.ms,1781854880930000000,1781854941107000000,6
workspaceModel.moduleBridge.before.changed.ms,1781854880930000000,1781854941107000000,0
jps.storage.jps.conf.reader.load.component.ms,1781854880930000000,1781854941107000000,14
workspaceModel.load.cache.metadata.from.file.ms,1781854880930000000,1781854941107000000,44
jps.apply.loaded.storage.ms,1781854880930000000,1781854941107000000,129
workspaceModel.mutableEntityStorage.referrers.ms,1781854880930000000,1781854941107000000,0
jps.library.entities.serializer.save.entities.ms,1781854880930000000,1781854941107000000,0
jps.load.project.to.empty.storage.ms,1781854880930000000,1781854941107000000,376
workspaceModel.mutableEntityStorage.instances.count,1781854880930000000,1781854941107000000,33
jps.load.initial.state.ms,1781854880930000000,1781854941107000000,141
workspaceModel.global.apply.state.to.project.ms,1781854880930000000,1781854941107000000,565
workspaceModel.mutableEntityStorage.add.entity.ms,1781854880930000000,1781854941107000000,143
workspaceModel.moduleManagerBridge.get.modules.ms,1781854880930000000,1781854941107000000,8
workspaceModel.mutableEntityStorage.modify.entity.ms,1781854880930000000,1781854941107000000,18
jps.project.serializers.save.ms,1781854880930000000,1781854941107000000,6
jps.module.iml.entities.serializer.save.entities.ms,1781854880930000000,1781854941107000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1781854880930000000,1781854941107000000,6
jps.save.changed.project.entities.ms,1781854880930000000,1781854941107000000,6
jps.app.storage.content.writer.save.component.ms,1781854880930000000,1781854941107000000,16
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1781854880930000000,1781854941107000000,6
workspaceModel.moduleManagerBridge.load.module.ms,1781854880930000000,1781854941107000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1781854880930000000,1781854941107000000,96
jps.module.iml.entities.serializer.load.entities.ms,1781854880930000000,1781854941107000000,132
jps.facet.change.listener.process.change.events.ms,1781854880930000000,1781854941107000000,11
workspaceModel.sync.entities.ms,1781854880930000000,1781854941107000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1781854880930000000,1781854941107000000,101
workspaceModel.mutableEntityStorage.entities.by.source.ms,1781854880930000000,1781854941107000000,2
jps.global.get.library.ms,1781854880930000000,1781854941107000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1781854880930000000,1781854941107000000,54
jps.global.initialize.library.bridges.ms,1781854880930000000,1781854941107000000,3
workspaceModel.orphan.listener.update.ms,1781854880930000000,1781854941107000000,10
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1781854880930000000,1781854941107000000,14
jps.global.handle.changed.events.ms,1781854880930000000,1781854941107000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1781854880930000000,1781854941107000000,0
jps.reload.project.entities.ms,1781854880930000000,1781854941107000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1781854880930000000,1781854941107000000,800
workspaceModel.mutableEntityStorage.to.snapshot.ms,1781854880930000000,1781854941107000000,9
workspaceModel.mutableEntityStorage.put.entity.ms,1781854880930000000,1781854941107000000,37
workspaceModel.global.apply.state.to.project.builder.ms,1781854880930000000,1781854941107000000,12
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1781854880930000000,1781854941107000000,53
workspaceModel.moduleBridge.update.option.ms,1781854880930000000,1781854941107000000,0
jps.library.entities.serializer.load.entities.ms,1781854880930000000,1781854941107000000,1
jps.global.handle.before.change.events.ms,1781854880930000000,1781854941107000000,0
jps.global.initialize.library.bridges.after.loading.ms,1781854880930000000,1781854941107000000,56
jps.artifact.entities.serializer.save.entities.ms,1781854880930000000,1781854941107000000,0
jps.global.get.libraries.ms,1781854880930000000,1781854941107000000,5
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1781854880930000000,1781854941107000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1781854880930000000,1781854941107000000,0
workspaceModel.do.save.caches.ms,1781854880930000000,1781854941107000000,297
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1781854880930000000,1781854941107000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1781854880930000000,1781854941107000000,515
workspaceModel.mutableEntityStorage.resolve.ms,1781854880930000000,1781854941107000000,0
jps.facet.change.listener.before.change.events.ms,1781854880930000000,1781854941107000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1781854880930000000,1781854941107000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1781854880930000000,1781854941107000000,0
VFS.contentStorage.recordsDeduplicated,1781854880930000000,1781854941107000000,4
VFS.rootsCount,1781854880930000000,1781854941107000000,12.0
VFS.folderCaseSensitivityReads,1781854880930000000,1781854941107000000,0
VFS.contentStorage.recordsReadDecompressed,1781854880930000000,1781854941107000000,8
VFS.contentStorage.recordsReadSize,1781854880930000000,1781854941107000000,472980
VFS.fileByIdCache.misses,1781854880930000000,1781854941107000000,338
