# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.count,1781862962620000000,1781863022648000000,7
writeAction.median.wait.ms,1781862962620000000,1781863022648000000,0
DiskQueryRelay.tasksRequested,1781862962620000000,1781863022648000000,1533
DiskQueryRelay.taskExecutionTotalTimeUs,1781862962620000000,1781863022648000000,1099267
writeAction.max.wait.ms,1781862962620000000,1781863022648000000,24
writeAction.wait.ms,1781862962620000000,1781863022648000000,32
parser.JAVA.size.bytes,1781862962620000000,1781863022648000000,3328
lexer.JAVA.time.ns,1781862962620000000,1781863022648000000,25683621
lexer.JAVA.size.bytes,1781862962620000000,1781863022648000000,3328
DiskQueryRelay.tasksExecuted,1781862962620000000,1781863022648000000,401
parser.JAVA.time.ns,1781862962620000000,1781863022648000000,210789275
DiskQueryRelay.taskWaitingTotalTimeUs,1781862962620000000,1781863022648000000,8511387
LowMemory.gcLoad,1781862962620000000,1781863022648000000,0.0
LowMemory.gcOverloaded,1781862962620000000,1781863022648000000,0
FileNameCache.totalMisses,1781862962620000000,1781863022648000000,640
VFS.fileChildByName,1781862962620000000,1781863022648000000,3665
VFS.contentStorage.recordsStored,1781862962620000000,1781863022648000000,0
VFS.rootsCount,1781862962620000000,1781863022648000000,12.0
VFS.cache.directoriesCreated,1781862962620000000,1781863022648000000,362
FileNameCache.queries,1781862962620000000,1781863022648000000,32512
VFS.cache.filesCreated,1781862962620000000,1781863022648000000,10199
VFS.contentStorage.recordsStoredSize,1781862962620000000,1781863022648000000,0
VFS.contentStorage.recordsStoredCompressed,1781862962620000000,1781863022648000000,0
VFS.cache.segments,1781862962620000000,1781863022648000000,62.0
VFS.folderCaseSensitivityReads,1781862962620000000,1781863022648000000,0
VFS.contentStorage.recordsUncompressedSize,1781862962620000000,1781863022648000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1781862962620000000,1781863022648000000,780
VFS.contentStorage.recordsReadDecompressed,1781862962620000000,1781863022648000000,4
VFS.contentStorage.recordsRead,1781862962620000000,1781863022648000000,9
VFS.cache.segmentsCreated,1781862962620000000,1781863022648000000,62
VFS.fileByIdCache.hits,1781862962620000000,1781863022648000000,0
VFS.invertedFileNameIndex.requests,1781862962620000000,1781863022648000000,4
VFS.contentStorage.recordsReadSize,1781862962620000000,1781863022648000000,274263
VFS.fileByIdCache.misses,1781862962620000000,1781863022648000000,233
VFS.contentStorage.recordsDeduplicated,1781862962620000000,1781863022648000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1781862962620000000,1781863022648000000,0
Indexes.stubs.lookups,1781862962620000000,1781863022648000000,1436
Indexing.cache.totalCacheMisses,1781862962620000000,1781863022648000000,1993
Indexes.stubs.lookupDurationAvgMs,1781862962620000000,1781863022648000000,1.7446366782006921
Indexes.stubs.lookupDurationMaxMs,1781862962620000000,1781863022648000000,505.0
Indexing.writer_0.totalTimeSpentWritingMs,1781862962620000000,1781863022648000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1781862962620000000,1781863022648000000,0
Indexing.writesQueuedMin,1781862962620000000,1781863022648000000,0
Indexes.entries.lookupDurationMaxMs,1781862962620000000,1781863022648000000,116.0
Indexing.cache.totalCacheEvicted,1781862962620000000,1781863022648000000,1407
Indexing.writesQueuedMax,1781862962620000000,1781863022648000000,0
Indexes.stubs.lookupDuration90PMs,1781862962620000000,1781863022648000000,5.0
Indexes.allKeys.lookupDurationAvgMs,1781862962620000000,1781863022648000000,1.0
Indexes.allKeys.lookups,1781862962620000000,1781863022648000000,1
Indexing.totalTimeIndexersSleptMs,1781862962620000000,1781863022648000000,0
Indexes.allKeys.lookupDurationMaxMs,1781862962620000000,1781863022648000000,1.0
Indexes.entries.lookupDurationAvgMs,1781862962620000000,1781863022648000000,6.716981132075472
Indexing.writer_2.totalTimeSpentWritingMs,1781862962620000000,1781863022648000000,0
Indexes.allKeys.lookupDuration90PMs,1781862962620000000,1781863022648000000,1.0
Indexes.entries.lookups,1781862962620000000,1781863022648000000,53
Indexes.entries.lookupDuration90PMs,1781862962620000000,1781863022648000000,18.0
Indexing.cache.totalCacheAccesses,1781862962620000000,1781863022648000000,4862
Indexing.writesQueuedAvg,1781862962620000000,1781863022648000000,0.0
JVM.usedNativeBytes,1781862962620000000,1781863022648000000,418773304
JVM.maxThreadCount,1781862962620000000,1781863022648000000,136
JVM.maxHeapBytes,1781862962620000000,1781863022648000000,2147483648
MEM.ramPlusSwapMinusFileMappingsBytes,1781862962620000000,1781863022648000000,2055938048
JVM.GC.collections,1781862962620000000,1781863022648000000,54
MEM.ramMinusFileMappingsBytes,1781862962620000000,1781863022648000000,2055938048
JVM.totalTimeToSafepointsMs,1781862962620000000,1781863022648000000,70
MEM.ramBytes,1781862962620000000,1781863022648000000,2779947008
JVM.committedHeapBytes,1781862962620000000,1781863022648000000,801112064
MEM.fileMappingsRamBytes,1781862962620000000,1781863022648000000,710901760
JVM.GC.collectionTimesMs,1781862962620000000,1781863022648000000,1168
JVM.totalDirectByteBuffersBytes,1781862962620000000,1781863022648000000,630288385
JVM.totalSafepointCount,1781862962620000000,1781863022648000000,91
JVM.totalBytesAllocated,1781862962620000000,1781863022648000000,3218684712
JVM.totalCpuTimeMs,1781862962620000000,1781863022648000000,205590
JVM.newThreadsCount,1781862962620000000,1781863022648000000,143
JVM.threadCount,1781862962620000000,1781863022648000000,135
JVM.totalTimeAtSafepointsMs,1781862962620000000,1781863022648000000,1214
OS.loadAverage,1781862962620000000,1781863022648000000,2.7392578125
JVM.usedHeapBytes,1781862962620000000,1781863022648000000,657341552
workspaceModel.updates.ms,1781862962620000000,1781863022648000000,237
workspaceModel.cachedValue.total.get.count,1781862962620000000,1781863022648000000,108
workspaceModel.workspaceFileIndexData.getPackageName.ms,1781862962620000000,1781863022648000000,48
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1781862962620000000,1781863022648000000,2050
workspaceModel.workspaceFileIndexData.processFileSets.ms,1781862962620000000,1781863022648000000,0
workspaceModel.full.replace.project.model.ms,1781862962620000000,1781863022648000000,16
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1781862962620000000,1781863022648000000,0
workspaceModel.check.recursive.update.ms,1781862962620000000,1781863022648000000,1
workspaceModel.cachedValue.clear.count,1781862962620000000,1781863022648000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1781862962620000000,1781863022648000000,5
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1781862962620000000,1781863022648000000,174
workspaceModel.on.changed.ms,1781862962620000000,1781863022648000000,68
workspaceModel.to.snapshot.ms,1781862962620000000,1781863022648000000,2
workspaceModel.cachedValue.calculated.count,1781862962620000000,1781863022648000000,13
workspaceModel.cachedValueWithParameters.total.get.count,1781862962620000000,1781863022648000000,9325
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1781862962620000000,1781863022648000000,1480
workspaceModel.updates.precise.ms,1781862962620000000,1781863022648000000,51
workspaceModel.loading.from.cache.ms,1781862962620000000,1781863022648000000,731
workspaceModel.entityStorageSnapshotImpl.instances.count,1781862962620000000,1781863022648000000,22
workspaceModel.cachedValueWithParameters.calculated.count,1781862962620000000,1781863022648000000,3
workspaceModel.workspaceFileIndexData.markDirty.ms,1781862962620000000,1781863022648000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1781862962620000000,1781863022648000000,0
workspaceModel.workspaceFileIndexData.instances.count,1781862962620000000,1781863022648000000,1
workspaceModel.on.before.changed.ms,1781862962620000000,1781863022648000000,102
workspaceModel.pre.handlers.ms,1781862962620000000,1781863022648000000,2
workspaceModel.cachedValue.from.cache.count,1781862962620000000,1781863022648000000,95
workspaceModel.replace.project.model.ms,1781862962620000000,1781863022648000000,0
workspaceModel.loading.total.ms,1781862962620000000,1781863022648000000,752
workspaceModel.cachedValueWithParameters.clear.count,1781862962620000000,1781863022648000000,0
workspaceModel.init.bridges.ms,1781862962620000000,1781863022648000000,10
workspaceModel.collect.changes.ms,1781862962620000000,1781863022648000000,0
workspaceModel.initializing.ms,1781862962620000000,1781863022648000000,9
workspaceModel.updates.count,1781862962620000000,1781863022648000000,3
workspaceModel.cachedValueWithParameters.from.cache.count,1781862962620000000,1781863022648000000,9322
workspaceModel.workspaceFileIndexData.init.ms,1781862962620000000,1781863022648000000,754
workspaceModel.update.unloaded.entities.ms,1781862962620000000,1781863022648000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1781862962620000000,1781863022648000000,5368151
FileChannelInterruptsRetryer.totalRetriedAttempts,1781862962620000000,1781863022648000000,0
FilePageCache.maxCacheSizeInBytes,1781862962620000000,1781863022648000000,629153792
FilePageCache.totalPageDisposalsUs,1781862962620000000,1781863022648000000,13152
StreamlinedBlobStorage.recordsRelocated,1781862962620000000,1781863022648000000,0
StorageLockContext.competingThreads.avg,1781862962620000000,1781863022648000000,0.22608695652173913
StreamlinedBlobStorage.recordsDeleted,1781862962620000000,1781863022648000000,3
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1781862962620000000,1781863022648000000,630210560
MappedFileStorage.totalTimeSpentOnMappingUs,1781862962620000000,1781863022648000000,64415
FilePageCache.pageLoadsAboveSizeThreshold,1781862962620000000,1781863022648000000,36
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1781862962620000000,1781863022648000000,2928837
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1781862962620000000,1781863022648000000,1064960
FilePageCache.disposedBuffers,1781862962620000000,1781863022648000000,40
FilePageCache.capacityInBytes,1781862962620000000,1781863022648000000,629145600
StorageLockContext.competingThreads.90P,1781862962620000000,1781863022648000000,0
DirectByteBufferAllocator.misses,1781862962620000000,1781863022648000000,603
MappedFileStorage.totalBytesMapped,1781862962620000000,1781863022648000000,181665792
StreamlinedBlobStorage.recordsAllocated,1781862962620000000,1781863022648000000,60229
FilePageCache.uncachedFileAccess,1781862962620000000,1781863022648000000,505
FilePageCache.maxRegisteredFiles,1781862962620000000,1781863022648000000,1652
FilePageCache.pageFastCacheHits,1781862962620000000,1781863022648000000,14978
DirectByteBufferAllocator.hits,1781862962620000000,1781863022648000000,37
FilePageCache.totalPageLoadsUs,1781862962620000000,1781863022648000000,2469256
