# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.GC.collectionTimesMs,1781868628251000000,1781868688267000000,1167
JVM.usedNativeBytes,1781868628251000000,1781868688267000000,437860264
MEM.ramPlusSwapMinusFileMappingsBytes,1781868628251000000,1781868688267000000,2255810560
JVM.GC.collections,1781868628251000000,1781868688267000000,57
MEM.ramMinusFileMappingsBytes,1781868628251000000,1781868688267000000,2255810560
JVM.totalDirectByteBuffersBytes,1781868628251000000,1781868688267000000,631382017
JVM.totalCpuTimeMs,1781868628251000000,1781868688267000000,217150
MEM.fileMappingsRamBytes,1781868628251000000,1781868688267000000,720347136
JVM.maxThreadCount,1781868628251000000,1781868688267000000,136
JVM.totalTimeAtSafepointsMs,1781868628251000000,1781868688267000000,1201
OS.loadAverage,1781868628251000000,1781868688267000000,2.96142578125
JVM.maxHeapBytes,1781868628251000000,1781868688267000000,2147483648
JVM.totalSafepointCount,1781868628251000000,1781868688267000000,105
JVM.usedHeapBytes,1781868628251000000,1781868688267000000,594505328
MEM.ramBytes,1781868628251000000,1781868688267000000,2988609536
JVM.newThreadsCount,1781868628251000000,1781868688267000000,149
JVM.committedHeapBytes,1781868628251000000,1781868688267000000,962592768
JVM.totalTimeToSafepointsMs,1781868628251000000,1781868688267000000,109
JVM.totalBytesAllocated,1781868628251000000,1781868688267000000,3548637736
JVM.threadCount,1781868628251000000,1781868688267000000,135
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1781868628251000000,1781868688267000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1781868628251000000,1781868688267000000,24
compiler.ArtifactManagerBridge.addArtifact.ms,1781868628251000000,1781868688267000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1781868628251000000,1781868688267000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1781868628251000000,1781868688267000000,0
compiler.ArtifactManagerBridge.commit.ms,1781868628251000000,1781868688267000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1781868628251000000,1781868688267000000,2
compiler.ArtifactManagerBridge.getArtifacts.ms,1781868628251000000,1781868688267000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1781868628251000000,1781868688267000000,0
AWTEventQueue.dispatchTime90PNs,1781868628251000000,1781868688267000000,6160383
AWTEventQueue.dispatchTimeAvgNs,1781868628251000000,1781868688267000000,5624733.178353338
WriteAction.executionsCount,1781868628251000000,1781868688267000000,7
NonBlockingReadAction.finalizedExecutionsCount,1781868628251000000,1781868688267000000,79
FlushQueue.waitingTimeMaxNs,1781868628251000000,1781868688267000000,3942645759
NonBlockingReadAction.failedExecutionTimeUs,1781868628251000000,1781868688267000000,0
