# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
compiler.ArtifactManagerBridge.commit.ms,1781869116940000000,1781869176985000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1781869116940000000,1781869176985000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1781869116940000000,1781869176985000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1781869116940000000,1781869176985000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1781869116940000000,1781869176985000000,8
compiler.ArtifactManagerBridge.initBridges.ms,1781869116940000000,1781869176985000000,1
compiler.ArtifactManagerBridge.addArtifact.ms,1781869116940000000,1781869176985000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1781869116940000000,1781869176985000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1781869116940000000,1781869176985000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1781869116940000000,1781869176985000000,991
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1781869116940000000,1781869176985000000,89
workspaceModel.cachedValue.from.cache.count,1781869116940000000,1781869176985000000,91
workspaceModel.workspaceFileIndexData.markDirty.ms,1781869116940000000,1781869176985000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1781869116940000000,1781869176985000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1781869116940000000,1781869176985000000,1538
workspaceModel.init.bridges.ms,1781869116940000000,1781869176985000000,28
workspaceModel.cachedValueWithParameters.total.get.count,1781869116940000000,1781869176985000000,7090
workspaceModel.cachedValue.total.get.count,1781869116940000000,1781869176985000000,107
workspaceModel.pre.handlers.ms,1781869116940000000,1781869176985000000,1
workspaceModel.cachedValue.calculated.count,1781869116940000000,1781869176985000000,16
workspaceModel.replace.project.model.ms,1781869116940000000,1781869176985000000,0
workspaceModel.check.recursive.update.ms,1781869116940000000,1781869176985000000,1
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1781869116940000000,1781869176985000000,127
workspaceModel.workspaceFileIndexData.getPackageName.ms,1781869116940000000,1781869176985000000,18
workspaceModel.cachedValueWithParameters.from.cache.count,1781869116940000000,1781869176985000000,7086
workspaceModel.cachedValueWithParameters.calculated.count,1781869116940000000,1781869176985000000,4
workspaceModel.workspaceFileIndexData.instances.count,1781869116940000000,1781869176985000000,1
workspaceModel.full.replace.project.model.ms,1781869116940000000,1781869176985000000,9
workspaceModel.cachedValue.clear.count,1781869116940000000,1781869176985000000,0
workspaceModel.updates.count,1781869116940000000,1781869176985000000,3
workspaceModel.workspaceFileIndexData.init.ms,1781869116940000000,1781869176985000000,516
workspaceModel.collect.changes.ms,1781869116940000000,1781869176985000000,0
workspaceModel.cachedValueWithParameters.clear.count,1781869116940000000,1781869176985000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1781869116940000000,1781869176985000000,0
workspaceModel.initializing.ms,1781869116940000000,1781869176985000000,28
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1781869116940000000,1781869176985000000,4
workspaceModel.to.snapshot.ms,1781869116940000000,1781869176985000000,1
workspaceModel.update.unloaded.entities.ms,1781869116940000000,1781869176985000000,0
workspaceModel.on.changed.ms,1781869116940000000,1781869176985000000,78
workspaceModel.entityStorageSnapshotImpl.instances.count,1781869116940000000,1781869176985000000,22
workspaceModel.loading.from.cache.ms,1781869116940000000,1781869176985000000,661
workspaceModel.on.before.changed.ms,1781869116940000000,1781869176985000000,153
workspaceModel.updates.ms,1781869116940000000,1781869176985000000,349
workspaceModel.updates.precise.ms,1781869116940000000,1781869176985000000,79
workspaceModel.loading.total.ms,1781869116940000000,1781869176985000000,692
lexer.JAVA.time.ns,1781869116940000000,1781869176985000000,19260362
LowMemory.gcLoad,1781869116940000000,1781869176985000000,0.0013693979199401087
DiskQueryRelay.taskExecutionTotalTimeUs,1781869116940000000,1781869176985000000,920298
parser.JAVA.time.ns,1781869116940000000,1781869176985000000,227451526
writeAction.median.wait.ms,1781869116940000000,1781869176985000000,0
lexer.JAVA.size.bytes,1781869116940000000,1781869176985000000,3328
writeAction.wait.ms,1781869116940000000,1781869176985000000,214
DiskQueryRelay.tasksExecuted,1781869116940000000,1781869176985000000,344
DiskQueryRelay.tasksRequested,1781869116940000000,1781869176985000000,795
writeAction.max.wait.ms,1781869116940000000,1781869176985000000,130
LowMemory.gcOverloaded,1781869116940000000,1781869176985000000,0
parser.JAVA.size.bytes,1781869116940000000,1781869176985000000,3328
writeAction.count,1781869116940000000,1781869176985000000,6
DiskQueryRelay.taskWaitingTotalTimeUs,1781869116940000000,1781869176985000000,4474843
FileNameCache.totalMisses,1781869116940000000,1781869176985000000,28032
VFS.contentStorage.recordsReadDecompressed,1781869116940000000,1781869176985000000,3
VFS.contentStorage.recordsUncompressedSize,1781869116940000000,1781869176985000000,0
FileNameCache.queries,1781869116940000000,1781869176985000000,425920
VFS.contentStorage.recordsStored,1781869116940000000,1781869176985000000,0
VFS.cache.segments,1781869116940000000,1781869176985000000,89.0
VFS.contentStorage.recordsDeduplicated,1781869116940000000,1781869176985000000,0
VFS.fileByIdCache.hits,1781869116940000000,1781869176985000000,0
VFS.contentStorage.recordsStoredSize,1781869116940000000,1781869176985000000,0
VFS.contentStorage.recordsStoredCompressed,1781869116940000000,1781869176985000000,0
VFS.invertedFileNameIndex.requests,1781869116940000000,1781869176985000000,6
VFS.cache.segmentsCreated,1781869116940000000,1781869176985000000,90
VFS.contentStorage.recordsDecompressionTimeUs,1781869116940000000,1781869176985000000,643
VFS.fileChildByName,1781869116940000000,1781869176985000000,3041
VFS.fileByIdCache.misses,1781869116940000000,1781869176985000000,222
VFS.folderCaseSensitivityReads,1781869116940000000,1781869176985000000,0
VFS.rootsCount,1781869116940000000,1781869176985000000,12.0
VFS.cache.filesCreated,1781869116940000000,1781869176985000000,7219
VFS.contentStorage.recordsReadSize,1781869116940000000,1781869176985000000,191602
VFS.cache.directoriesCreated,1781869116940000000,1781869176985000000,1415
VFS.contentStorage.recordsRead,1781869116940000000,1781869176985000000,8
cacheStateStorage.set.duration,1781869116940000000,1781869176985000000,44
cacheStateStorage.get.counter,1781869116940000000,1781869176985000000,31
cacheStateStorage.get.duration,1781869116940000000,1781869176985000000,202
cacheStateStorage.set.counter,1781869116940000000,1781869176985000000,3
FlushQueue.executionTimeAvgNs,1781869116940000000,1781869176985000000,5515781.465303927
NonBlockingReadAction.finalizedExecutionTimeUs,1781869116940000000,1781869176985000000,920526
FlushQueue.queueSizeAvg,1781869116940000000,1781869176985000000,76.67240451855837
FlushQueue.waitingTime90PNs,1781869116940000000,1781869176985000000,1736441855
FlushQueue.tasksExecuted,1781869116940000000,1781869176985000000,1859
WriteAction.executionsCount,1781869116940000000,1781869176985000000,6
AWTEventQueue.dispatchTimeAvgNs,1781869116940000000,1781869176985000000,1.369374160831335E7
FlushQueue.waitingTimeMaxNs,1781869116940000000,1781869176985000000,2902458367
AWTEventQueue.dispatchTime90PNs,1781869116940000000,1781869176985000000,20185087
NonBlockingReadAction.finalizedExecutionsCount,1781869116940000000,1781869176985000000,45
FlushQueue.executionTimeMaxNs,1781869116940000000,1781869176985000000,1107296255
AWTEventQueue.dispatchTimeTotalNS,1781869116940000000,1781869176985000000,17127009164
FlushQueue.executionTime90PNs,1781869116940000000,1781869176985000000,1957887
FlushQueue.queueSizeMax,1781869116940000000,1781869176985000000,309
NonBlockingReadAction.failedExecutionsCount,1781869116940000000,1781869176985000000,0
AWTEventQueue.eventsDispatched,1781869116940000000,1781869176985000000,1251
AWTEventQueue.dispatchTimeMaxNs,1781869116940000000,1781869176985000000,1115684863
NonBlockingReadAction.failedExecutionTimeUs,1781869116940000000,1781869176985000000,0
FlushQueue.waitingTimeAvgNs,1781869116940000000,1781869176985000000,6.398987124690694E8
ReadAction.executionsCount,1781869116940000000,1781869176985000000,33283
FlushQueue.queueSize90P,1781869116940000000,1781869176985000000,196
StreamlinedBlobStorage.recordsDeleted,1781869116940000000,1781869176985000000,5
MappedFileStorage.totalTimeSpentOnMappingUs,1781869116940000000,1781869176985000000,26310
FilePageCache.pageLoads,1781869116940000000,1781869176985000000,637
MappedFileStorage.storages,1781869116940000000,1781869176985000000,12
DirectByteBufferAllocator.hits,1781869116940000000,1781869176985000000,9
FilePageCache.disposedBuffers,1781869116940000000,1781869176985000000,612
StreamlinedBlobStorage.recordsAllocated,1781869116940000000,1781869176985000000,60777
FilePageCache.maxCacheSizeInBytes,1781869116940000000,1781869176985000000,629153792
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1781869116940000000,1781869176985000000,5406595
FilePageCache.pageHits,1781869116940000000,1781869176985000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1781869116940000000,1781869176985000000,0
MappedFileStorage.totalBytesMapped,1781869116940000000,1781869176985000000,185860096
FilePageCache.capacityInBytes,1781869116940000000,1781869176985000000,629145600
FilePageCache.maxRegisteredFiles,1781869116940000000,1781869176985000000,1652
DirectByteBufferAllocator.reclaimed,1781869116940000000,1781869176985000000,51
StorageLockContext.competingThreads.90P,1781869116940000000,1781869176985000000,0
MappedFileStorage.totalPagesMapped,1781869116940000000,1781869176985000000,12
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1781869116940000000,1781869176985000000,34603008
FilePageCache.totalPageDisposalsUs,1781869116940000000,1781869176985000000,15010
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1781869116940000000,1781869176985000000,41959424
FilePageCache.pageFastCacheHits,1781869116940000000,1781869176985000000,14914
StorageLockContext.competingThreads.avg,1781869116940000000,1781869176985000000,0.1810344827586207
FilePageCache.totalPageLoadsUs,1781869116940000000,1781869176985000000,1524035
StorageLockContext.competingThreads.max,1781869116940000000,1781869176985000000,11
DirectByteBufferAllocator.disposed,1781869116940000000,1781869176985000000,603
FilePageCache.pageLoadsAboveSizeThreshold,1781869116940000000,1781869176985000000,8
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1781869116940000000,1781869176985000000,2934879
FilePageCache.uncachedFileAccess,1781869116940000000,1781869176985000000,509
StreamlinedBlobStorage.recordsRelocated,1781869116940000000,1781869176985000000,0
DirectByteBufferAllocator.misses,1781869116940000000,1781869176985000000,636
Indexes.entries.lookupDurationMaxMs,1781869116940000000,1781869176985000000,72.0
Indexing.writer_3.totalTimeSpentWritingMs,1781869116940000000,1781869176985000000,0
Indexes.stubs.lookupDuration90PMs,1781869116940000000,1781869176985000000,3.0
Indexing.writesQueuedAvg,1781869116940000000,1781869176985000000,0.0
Indexes.entries.lookupDurationAvgMs,1781869116940000000,1781869176985000000,5.431818181818182
Indexing.writer_1.totalTimeSpentWritingMs,1781869116940000000,1781869176985000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1781869116940000000,1781869176985000000,0
Indexes.entries.lookupDuration90PMs,1781869116940000000,1781869176985000000,12.0
Indexing.totalTimeIndexersSleptMs,1781869116940000000,1781869176985000000,0
Indexes.stubs.lookupDurationMaxMs,1781869116940000000,1781869176985000000,279.0
Indexes.allKeys.lookups,1781869116940000000,1781869176985000000,1
Indexing.writesQueuedMin,1781869116940000000,1781869176985000000,0
Indexes.stubs.lookups,1781869116940000000,1781869176985000000,1298
Indexes.allKeys.lookupDurationMaxMs,1781869116940000000,1781869176985000000,1.0
Indexing.cache.totalCacheMisses,1781869116940000000,1781869176985000000,1919
Indexes.entries.lookups,1781869116940000000,1781869176985000000,44
Indexing.cache.totalCacheAccesses,1781869116940000000,1781869176985000000,4473
Indexing.cache.totalCacheEvicted,1781869116940000000,1781869176985000000,1333
Indexing.writer_0.totalTimeSpentWritingMs,1781869116940000000,1781869176985000000,0
Indexes.allKeys.lookupDurationAvgMs,1781869116940000000,1781869176985000000,1.0
Indexes.allKeys.lookupDuration90PMs,1781869116940000000,1781869176985000000,1.0
Indexes.stubs.lookupDurationAvgMs,1781869116940000000,1781869176985000000,1.1261467889908257
Indexing.writesQueuedMax,1781869116940000000,1781869176985000000,0
JVM.totalSafepointCount,1781869116940000000,1781869176985000000,93
JVM.maxThreadCount,1781869116940000000,1781869176985000000,134
JVM.threadCount,1781869116940000000,1781869176985000000,133
MEM.ramMinusFileMappingsBytes,1781869116940000000,1781869176985000000,1474764800
MEM.ramBytes,1781869116940000000,1781869176985000000,2188484608
JVM.totalTimeAtSafepointsMs,1781869116940000000,1781869176985000000,934
JVM.GC.collectionTimesMs,1781869116940000000,1781869176985000000,902
JVM.maxHeapBytes,1781869116940000000,1781869176985000000,2147483648
JVM.totalDirectByteBuffersBytes,1781869116940000000,1781869176985000000,35776513
MEM.fileMappingsRamBytes,1781869116940000000,1781869176985000000,702332928
JVM.totalCpuTimeMs,1781869116940000000,1781869176985000000,153190
