# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.median.wait.ms,1781854454890000000,1781854514937000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1781854454890000000,1781854514937000000,562490
DiskQueryRelay.tasksRequested,1781854454890000000,1781854514937000000,119
DiskQueryRelay.tasksExecuted,1781854454890000000,1781854514937000000,119
writeAction.max.wait.ms,1781854454890000000,1781854514937000000,6
writeAction.count,1781854454890000000,1781854514937000000,1
writeAction.wait.ms,1781854454890000000,1781854514937000000,6
DiskQueryRelay.taskExecutionTotalTimeUs,1781854454890000000,1781854514937000000,432215
Indexing.cache.totalCacheEvicted,1781854454890000000,1781854514937000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1781854454890000000,1781854514937000000,0
Indexing.cache.totalCacheAccesses,1781854454890000000,1781854514937000000,0
Indexing.writesQueuedMax,1781854454890000000,1781854514937000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1781854454890000000,1781854514937000000,0
Indexing.totalTimeIndexersSleptMs,1781854454890000000,1781854514937000000,0
Indexing.writesQueuedMin,1781854454890000000,1781854514937000000,9223372036854775807
Indexing.writer_2.totalTimeSpentWritingMs,1781854454890000000,1781854514937000000,0
Indexing.cache.totalCacheMisses,1781854454890000000,1781854514937000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1781854454890000000,1781854514937000000,0
StorageLockContext.competingThreads.avg,1781854454890000000,1781854514937000000,0.0
FileChannelInterruptsRetryer.totalRetriedAttempts,1781854454890000000,1781854514937000000,0
FilePageCache.uncachedFileAccess,1781854454890000000,1781854514937000000,564
StreamlinedBlobStorage.recordsDeleted,1781854454890000000,1781854514937000000,0
MappedFileStorage.totalPagesMapped,1781854454890000000,1781854514937000000,6
FilePageCache.totalPageLoadsUs,1781854454890000000,1781854514937000000,5050577
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1781854454890000000,1781854514937000000,327172096
DirectByteBufferAllocator.hits,1781854454890000000,1781854514937000000,5
FilePageCache.pageLoads,1781854454890000000,1781854514937000000,319
FilePageCache.pageHits,1781854454890000000,1781854514937000000,0
StreamlinedBlobStorage.recordsAllocated,1781854454890000000,1781854514937000000,19
MappedFileStorage.totalBytesMapped,1781854454890000000,1781854514937000000,164626432
FilePageCache.capacityInBytes,1781854454890000000,1781854514937000000,629145600
FilePageCache.pageLoadsAboveSizeThreshold,1781854454890000000,1781854514937000000,0
FilePageCache.maxRegisteredFiles,1781854454890000000,1781854514937000000,877
DirectByteBufferAllocator.disposed,1781854454890000000,1781854514937000000,0
DirectByteBufferAllocator.reclaimed,1781854454890000000,1781854514937000000,5
FilePageCache.pageFastCacheHits,1781854454890000000,1781854514937000000,21950
MappedFileStorage.totalTimeSpentOnMappingUs,1781854454890000000,1781854514937000000,3179060
