# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.rootsCount,1781863649300000000,1781863709392000000,12.0
VFS.folderCaseSensitivityReads,1781863649300000000,1781863709392000000,0
VFS.invertedFileNameIndex.requests,1781863649300000000,1781863709392000000,8
FileNameCache.totalMisses,1781863649300000000,1781863709392000000,704
VFS.contentStorage.recordsStoredSize,1781863649300000000,1781863709392000000,0
VFS.fileChildByName,1781863649300000000,1781863709392000000,6297
VFS.contentStorage.recordsReadDecompressed,1781863649300000000,1781863709392000000,6
VFS.contentStorage.recordsReadSize,1781863649300000000,1781863709392000000,343569
VFS.contentStorage.recordsRead,1781863649300000000,1781863709392000000,104
VFS.contentStorage.recordsDeduplicated,1781863649300000000,1781863709392000000,4
VFS.cache.segments,1781863649300000000,1781863709392000000,62.0
FileNameCache.queries,1781863649300000000,1781863709392000000,91968
VFS.cache.directoriesCreated,1781863649300000000,1781863709392000000,365
VFS.contentStorage.recordsDecompressionTimeUs,1781863649300000000,1781863709392000000,934
VFS.fileByIdCache.hits,1781863649300000000,1781863709392000000,0
VFS.contentStorage.recordsUncompressedSize,1781863649300000000,1781863709392000000,0
VFS.contentStorage.recordsStoredCompressed,1781863649300000000,1781863709392000000,0
VFS.cache.segmentsCreated,1781863649300000000,1781863709392000000,62
VFS.cache.filesCreated,1781863649300000000,1781863709392000000,11731
VFS.fileByIdCache.misses,1781863649300000000,1781863709392000000,337
VFS.contentStorage.recordsStored,1781863649300000000,1781863709392000000,0
MEM.ramPlusSwapMinusFileMappingsBytes,1781863649300000000,1781863709392000000,1305604096
JVM.GC.collectionTimesMs,1781863649300000000,1781863709392000000,1689
JVM.newThreadsCount,1781863649300000000,1781863709392000000,152
JVM.totalBytesAllocated,1781863649300000000,1781863709392000000,3580123240
JVM.usedNativeBytes,1781863649300000000,1781863709392000000,431587072
MEM.ramMinusFileMappingsBytes,1781863649300000000,1781863709392000000,1305604096
JVM.totalCpuTimeMs,1781863649300000000,1781863709392000000,228960
OS.loadAverage,1781863649300000000,1781863709392000000,4.3173828125
JVM.totalDirectByteBuffersBytes,1781863649300000000,1781863709392000000,45215745
MEM.ramBytes,1781863649300000000,1781863709392000000,2037178368
JVM.committedHeapBytes,1781863649300000000,1781863709392000000,605028352
MEM.fileMappingsRamBytes,1781863649300000000,1781863709392000000,718598144
JVM.totalTimeAtSafepointsMs,1781863649300000000,1781863709392000000,1771
JVM.totalTimeToSafepointsMs,1781863649300000000,1781863709392000000,81
JVM.maxHeapBytes,1781863649300000000,1781863709392000000,2147483648
JVM.GC.collections,1781863649300000000,1781863709392000000,59
JVM.maxThreadCount,1781863649300000000,1781863709392000000,144
JVM.threadCount,1781863649300000000,1781863709392000000,144
JVM.usedHeapBytes,1781863649300000000,1781863709392000000,520058904
JVM.totalSafepointCount,1781863649300000000,1781863709392000000,100
Indexing.writer_0.totalTimeSpentWritingMs,1781863649300000000,1781863709392000000,140
Indexes.entries.lookups,1781863649300000000,1781863709392000000,48
Indexing.writer_2.totalTimeSpentWritingMs,1781863649300000000,1781863709392000000,251
Indexes.stubs.lookupDurationMaxMs,1781863649300000000,1781863709392000000,0.0
Indexes.stubs.lookups,1781863649300000000,1781863709392000000,2703
Indexes.allKeys.lookupDurationAvgMs,1781863649300000000,1781863709392000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1781863649300000000,1781863709392000000,0.0
Indexes.allKeys.lookupDuration90PMs,1781863649300000000,1781863709392000000,0.0
Indexing.cache.totalCacheMisses,1781863649300000000,1781863709392000000,2917
Indexing.totalTimeIndexersSleptMs,1781863649300000000,1781863709392000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1781863649300000000,1781863709392000000,331
Indexing.cache.totalCacheEvicted,1781863649300000000,1781863709392000000,2327
Indexes.entries.lookupDurationMaxMs,1781863649300000000,1781863709392000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1781863649300000000,1781863709392000000,143
Indexes.stubs.lookupDurationAvgMs,1781863649300000000,1781863709392000000,0.0
Indexes.entries.lookupDuration90PMs,1781863649300000000,1781863709392000000,0.0
Indexes.allKeys.lookups,1781863649300000000,1781863709392000000,2
Indexes.entries.lookupDurationAvgMs,1781863649300000000,1781863709392000000,0.0
Indexes.stubs.lookupDuration90PMs,1781863649300000000,1781863709392000000,0.0
Indexing.writesQueuedMin,1781863649300000000,1781863709392000000,9223372036854775807
Indexing.writesQueuedMax,1781863649300000000,1781863709392000000,0
Indexing.cache.totalCacheAccesses,1781863649300000000,1781863709392000000,7836
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1781863649300000000,1781863709392000000,375
workspaceModel.cachedValueWithParameters.from.cache.count,1781863649300000000,1781863709392000000,7905
workspaceModel.replace.project.model.ms,1781863649300000000,1781863709392000000,0
workspaceModel.cachedValue.from.cache.count,1781863649300000000,1781863709392000000,110
workspaceModel.updates.ms,1781863649300000000,1781863709392000000,440
workspaceModel.on.changed.ms,1781863649300000000,1781863709392000000,99
workspaceModel.check.recursive.update.ms,1781863649300000000,1781863709392000000,1
workspaceModel.cachedValueWithParameters.clear.count,1781863649300000000,1781863709392000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1781863649300000000,1781863709392000000,80
workspaceModel.loading.total.ms,1781863649300000000,1781863709392000000,882
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1781863649300000000,1781863709392000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1781863649300000000,1781863709392000000,2484
workspaceModel.entityStorageSnapshotImpl.instances.count,1781863649300000000,1781863709392000000,22
workspaceModel.workspaceFileIndexData.markDirty.ms,1781863649300000000,1781863709392000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1781863649300000000,1781863709392000000,7908
workspaceModel.workspaceFileIndexData.init.ms,1781863649300000000,1781863709392000000,846
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1781863649300000000,1781863709392000000,1661
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1781863649300000000,1781863709392000000,0
workspaceModel.cachedValue.calculated.count,1781863649300000000,1781863709392000000,14
workspaceModel.update.unloaded.entities.ms,1781863649300000000,1781863709392000000,0
workspaceModel.cachedValue.clear.count,1781863649300000000,1781863709392000000,0
workspaceModel.to.snapshot.ms,1781863649300000000,1781863709392000000,2
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1781863649300000000,1781863709392000000,4
workspaceModel.init.bridges.ms,1781863649300000000,1781863709392000000,42
workspaceModel.loading.from.cache.ms,1781863649300000000,1781863709392000000,856
workspaceModel.pre.handlers.ms,1781863649300000000,1781863709392000000,6
workspaceModel.cachedValue.total.get.count,1781863649300000000,1781863709392000000,124
workspaceModel.workspaceFileIndexData.processFileSets.ms,1781863649300000000,1781863709392000000,0
workspaceModel.initializing.ms,1781863649300000000,1781863709392000000,39
workspaceModel.updates.count,1781863649300000000,1781863709392000000,3
workspaceModel.collect.changes.ms,1781863649300000000,1781863709392000000,0
workspaceModel.workspaceFileIndexData.instances.count,1781863649300000000,1781863709392000000,1
workspaceModel.full.replace.project.model.ms,1781863649300000000,1781863709392000000,27
workspaceModel.cachedValueWithParameters.calculated.count,1781863649300000000,1781863709392000000,3
workspaceModel.on.before.changed.ms,1781863649300000000,1781863709392000000,202
workspaceModel.updates.precise.ms,1781863649300000000,1781863709392000000,96
FlushQueue.queueSize90P,1781863649300000000,1781863709392000000,0
FlushQueue.queueSizeAvg,1781863649300000000,1781863709392000000,0.0
NonBlockingReadAction.finalizedExecutionsCount,1781863649300000000,1781863709392000000,72
FlushQueue.waitingTime90PNs,1781863649300000000,1781863709392000000,0
FlushQueue.waitingTimeMaxNs,1781863649300000000,1781863709392000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1781863649300000000,1781863709392000000,1272257
NonBlockingReadAction.failedExecutionsCount,1781863649300000000,1781863709392000000,2
AWTEventQueue.dispatchTimeAvgNs,1781863649300000000,1781863709392000000,0.0
ReadAction.executionsCount,1781863649300000000,1781863709392000000,7404
AWTEventQueue.dispatchTimeMaxNs,1781863649300000000,1781863709392000000,0
FlushQueue.executionTime90PNs,1781863649300000000,1781863709392000000,0
FlushQueue.executionTimeAvgNs,1781863649300000000,1781863709392000000,0.0
AWTEventQueue.dispatchTime90PNs,1781863649300000000,1781863709392000000,0
FlushQueue.executionTimeMaxNs,1781863649300000000,1781863709392000000,0
FlushQueue.tasksExecuted,1781863649300000000,1781863709392000000,0
AWTEventQueue.eventsDispatched,1781863649300000000,1781863709392000000,0
WriteAction.executionsCount,1781863649300000000,1781863709392000000,11
FlushQueue.waitingTimeAvgNs,1781863649300000000,1781863709392000000,0.0
FlushQueue.queueSizeMax,1781863649300000000,1781863709392000000,0
NonBlockingReadAction.failedExecutionTimeUs,1781863649300000000,1781863709392000000,236522
AWTEventQueue.dispatchTimeTotalNS,1781863649300000000,1781863709392000000,25205332743
DiskQueryRelay.tasksExecuted,1781863649300000000,1781863709392000000,797
