# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.cachedValue.clear.count,1781869745701000000,1781869805944000000,0
workspaceModel.cachedValue.from.cache.count,1781869745701000000,1781869805944000000,48
workspaceModel.updates.precise.ms,1781869745701000000,1781869805944000000,65
workspaceModel.check.recursive.update.ms,1781869745701000000,1781869805944000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1781869745701000000,1781869805944000000,0
workspaceModel.updates.ms,1781869745701000000,1781869805944000000,310
workspaceModel.collect.changes.ms,1781869745701000000,1781869805944000000,0
workspaceModel.initializing.ms,1781869745701000000,1781869805944000000,32
workspaceModel.workspaceFileIndexData.markDirty.ms,1781869745701000000,1781869805944000000,0
workspaceModel.full.replace.project.model.ms,1781869745701000000,1781869805944000000,5
workspaceModel.workspaceFileIndexData.getPackageName.ms,1781869745701000000,1781869805944000000,14
workspaceModel.on.before.changed.ms,1781869745701000000,1781869805944000000,142
workspaceModel.to.snapshot.ms,1781869745701000000,1781869805944000000,1
workspaceModel.update.unloaded.entities.ms,1781869745701000000,1781869805944000000,0
workspaceModel.init.bridges.ms,1781869745701000000,1781869805944000000,32
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1781869745701000000,1781869805944000000,861
workspaceModel.pre.handlers.ms,1781869745701000000,1781869805944000000,2
workspaceModel.cachedValue.total.get.count,1781869745701000000,1781869805944000000,68
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1781869745701000000,1781869805944000000,77
workspaceModel.cachedValue.calculated.count,1781869745701000000,1781869805944000000,20
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1781869745701000000,1781869805944000000,43
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1781869745701000000,1781869805944000000,1275
workspaceModel.updates.count,1781869745701000000,1781869805944000000,3
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1781869745701000000,1781869805944000000,0
workspaceModel.workspaceFileIndexData.init.ms,1781869745701000000,1781869805944000000,443
workspaceModel.cachedValueWithParameters.calculated.count,1781869745701000000,1781869805944000000,0
workspaceModel.loading.from.cache.ms,1781869745701000000,1781869805944000000,614
workspaceModel.on.changed.ms,1781869745701000000,1781869805944000000,57
workspaceModel.loading.total.ms,1781869745701000000,1781869805944000000,631
workspaceModel.workspaceFileIndexData.processFileSets.ms,1781869745701000000,1781869805944000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1781869745701000000,1781869805944000000,0
workspaceModel.replace.project.model.ms,1781869745701000000,1781869805944000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1781869745701000000,1781869805944000000,22
workspaceModel.workspaceFileIndexData.instances.count,1781869745701000000,1781869805944000000,1
workspaceModel.cachedValueWithParameters.clear.count,1781869745701000000,1781869805944000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1781869745701000000,1781869805944000000,3
FileChannelInterruptsRetryer.totalRetriedAttempts,1781869745701000000,1781869805944000000,0
StreamlinedBlobStorage.recordsRelocated,1781869745701000000,1781869805944000000,0
DirectByteBufferAllocator.misses,1781869745701000000,1781869805944000000,612
FilePageCache.pageLoads,1781869745701000000,1781869805944000000,613
StreamlinedBlobStorage.recordsAllocated,1781869745701000000,1781869805944000000,60795
FilePageCache.uncachedFileAccess,1781869745701000000,1781869805944000000,554
DirectByteBufferAllocator.hits,1781869745701000000,1781869805944000000,48
StreamlinedBlobStorage.recordsDeleted,1781869745701000000,1781869805944000000,5
FilePageCache.maxCacheSizeInBytes,1781869745701000000,1781869805944000000,629153792
FilePageCache.pageFastCacheHits,1781869745701000000,1781869805944000000,17109
FilePageCache.totalPageDisposalsUs,1781869745701000000,1781869805944000000,18258
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1781869745701000000,1781869805944000000,2935074
DirectByteBufferAllocator.reclaimed,1781869745701000000,1781869805944000000,90
FilePageCache.pageLoadsAboveSizeThreshold,1781869745701000000,1781869805944000000,47
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1781869745701000000,1781869805944000000,41959424
MappedFileStorage.totalPagesMapped,1781869745701000000,1781869805944000000,13
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1781869745701000000,1781869805944000000,5407855
StorageLockContext.competingThreads.90P,1781869745701000000,1781869805944000000,0
FilePageCache.totalPageLoadsUs,1781869745701000000,1781869805944000000,1738070
MappedFileStorage.totalTimeSpentOnMappingUs,1781869745701000000,1781869805944000000,73610
FilePageCache.disposedBuffers,1781869745701000000,1781869805944000000,651
FilePageCache.maxRegisteredFiles,1781869745701000000,1781869805944000000,1649
DirectByteBufferAllocator.disposed,1781869745701000000,1781869805944000000,603
StorageLockContext.competingThreads.max,1781869745701000000,1781869805944000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1781869745701000000,1781869805944000000,9437184
FilePageCache.pageHits,1781869745701000000,1781869805944000000,0
FilePageCache.capacityInBytes,1781869745701000000,1781869805944000000,629145600
MappedFileStorage.totalBytesMapped,1781869745701000000,1781869805944000000,190054400
MappedFileStorage.storages,1781869745701000000,1781869805944000000,13
StorageLockContext.competingThreads.avg,1781869745701000000,1781869805944000000,0.0
compiler.ArtifactManagerBridge.addArtifact.ms,1781869745701000000,1781869805944000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1781869745701000000,1781869805944000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1781869745701000000,1781869805944000000,10
compiler.ArtifactManagerBridge.initBridges.ms,1781869745701000000,1781869805944000000,4
compiler.ArtifactManagerBridge.findArtifact.ms,1781869745701000000,1781869805944000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1781869745701000000,1781869805944000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1781869745701000000,1781869805944000000,0
compiler.ArtifactManagerBridge.commit.ms,1781869745701000000,1781869805944000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1781869745701000000,1781869805944000000,0
NonBlockingReadAction.finalizedExecutionsCount,1781869745701000000,1781869805944000000,19
FlushQueue.waitingTimeMaxNs,1781869745701000000,1781869805944000000,0
WriteAction.executionsCount,1781869745701000000,1781869805944000000,10
NonBlockingReadAction.failedExecutionTimeUs,1781869745701000000,1781869805944000000,3137
NonBlockingReadAction.finalizedExecutionTimeUs,1781869745701000000,1781869805944000000,1618843
FlushQueue.waitingTime90PNs,1781869745701000000,1781869805944000000,0
AWTEventQueue.dispatchTime90PNs,1781869745701000000,1781869805944000000,0
FlushQueue.executionTimeMaxNs,1781869745701000000,1781869805944000000,0
FlushQueue.tasksExecuted,1781869745701000000,1781869805944000000,0
AWTEventQueue.dispatchTimeTotalNS,1781869745701000000,1781869805944000000,17795109132
FlushQueue.executionTime90PNs,1781869745701000000,1781869805944000000,0
NonBlockingReadAction.failedExecutionsCount,1781869745701000000,1781869805944000000,1
AWTEventQueue.dispatchTimeAvgNs,1781869745701000000,1781869805944000000,0.0
FlushQueue.queueSize90P,1781869745701000000,1781869805944000000,0
FlushQueue.queueSizeAvg,1781869745701000000,1781869805944000000,0.0
FlushQueue.executionTimeAvgNs,1781869745701000000,1781869805944000000,0.0
FlushQueue.queueSizeMax,1781869745701000000,1781869805944000000,0
AWTEventQueue.eventsDispatched,1781869745701000000,1781869805944000000,0
ReadAction.executionsCount,1781869745701000000,1781869805944000000,33549
FlushQueue.waitingTimeAvgNs,1781869745701000000,1781869805944000000,0.0
AWTEventQueue.dispatchTimeMaxNs,1781869745701000000,1781869805944000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1781869745701000000,1781869805944000000,159
workspaceModel.load.cache.from.file.ms,1781869745701000000,1781869805944000000,627
workspaceModel.mutableEntityStorage.add.entity.ms,1781869745701000000,1781869805944000000,62
workspaceModel.moduleBridge.facet.initialization.ms,1781869745701000000,1781869805944000000,45
jps.storage.jps.conf.reader.load.component.ms,1781869745701000000,1781869805944000000,10
workspaceModel.mutableEntityStorage.entities.ms,1781869745701000000,1781869805944000000,1
jps.global.initialize.library.bridges.ms,1781869745701000000,1781869805944000000,2
jps.facet.change.listener.init.bridge.ms,1781869745701000000,1781869805944000000,4
jps.reload.project.entities.ms,1781869745701000000,1781869805944000000,0
jps.library.entities.serializer.load.entities.ms,1781869745701000000,1781869805944000000,0
jps.global.get.library.ms,1781869745701000000,1781869805944000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1781869745701000000,1781869805944000000,32
workspaceModel.moduleManagerBridge.create.module.instance.ms,1781869745701000000,1781869805944000000,0
jps.global.handle.changed.events.ms,1781869745701000000,1781869805944000000,0
workspaceModel.save.cache.to.file.ms,1781869745701000000,1781869805944000000,128
jps.save.changed.project.entities.ms,1781869745701000000,1781869805944000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1781869745701000000,1781869805944000000,2
workspaceModel.mutableEntityStorage.collect.changes.ms,1781869745701000000,1781869805944000000,5
jps.load.project.to.empty.storage.ms,1781869745701000000,1781869805944000000,137
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1781869745701000000,1781869805944000000,0
jps.global.handle.before.change.events.ms,1781869745701000000,1781869805944000000,0
jps.app.storage.content.reader.load.component.ms,1781869745701000000,1781869805944000000,4
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1781869745701000000,1781869805944000000,0
workspaceModel.global.updates.ms,1781869745701000000,1781869805944000000,19
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1781869745701000000,1781869805944000000,0
jps.global.get.library.by.name.ms,1781869745701000000,1781869805944000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1781869745701000000,1781869805944000000,9
workspaceModel.moduleManagerBridge.get.modules.ms,1781869745701000000,1781869805944000000,9
workspaceModel.mutableEntityStorage.entities.by.source.ms,1781869745701000000,1781869805944000000,2
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1781869745701000000,1781869805944000000,1
jps.module.iml.entities.serializer.save.entities.ms,1781869745701000000,1781869805944000000,0
jps.facet.change.listener.before.change.events.ms,1781869745701000000,1781869805944000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1781869745701000000,1781869805944000000,4
workspaceModel.mutableEntityStorage.replace.by.source.ms,1781869745701000000,1781869805944000000,39
